age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,F,42,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,43,M,0.0,5.0,5.0,1.0,0.0
0,F,43,F,0.0,5.0,5.0,1.0,0.0
0,F,44,M,0.0,5.0,5.0,1.0,0.0
0,F,44,F,0.0,5.0,5.0,1.0,0.0
0,F,45,M,0.0,5.0,5.0,1.0,0.0
0,F,45,F,0.0,5.0,5.0,1.0,0.0
0,F,46,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,46,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,47,M,0.0,5.0,5.0,1.0,0.0
0,F,47,F,0.0,5.0,5.0,1.0,0.0
0,F,48,M,0.0,5.0,5.0,1.0,0.0
0,F,48,F,0.0,5.0,5.0,1.0,0.0
0,F,49,M,0.0,5.0,5.0,1.0,0.0
0,F,49,F,0.0,5.0,5.0,1.0,0.0
0,F,50,M,0.0,5.0,5.0,1.0,0.0
0,F,50,F,0.0,5.0,5.0,1.0,0.0
0,F,51,M,0.0,5.0,5.0,1.0,0.0
0,F,51,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,52,M,0.0,5.0,5.0,1.0,0.0
0,F,52,F,0.0,5.0,5.0,1.0,0.0
0,F,53,M,0.0,5.0,5.0,1.0,0.0
0,F,53,F,0.0,5.0,5.0,1.0,0.0
0,F,54,M,0.0,5.0,5.0,1.0,0.0
0,F,54,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,55,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,55,F,0.0,5.0,5.0,1.0,0.0
0,F,56,M,0.0,5.0,5.0,1.0,0.0
0,F,56,F,0.0,5.0,5.0,1.0,0.0
0,F,57,M,0.0,5.0,5.0,1.0,0.0
0,F,57,F,0.0,5.0,5.0,1.0,0.0
0,F,58,M,0.0,5.0,5.0,1.0,0.0
0,F,58,F,0.0,5.0,5.0,1.0,0.0
0,F,59,M,0.0,5.0,5.0,1.0,0.0
0,F,59,F,0.0,5.0,5.0,1.0,0.0
0,F,60,M,0.0,5.0,5.0,1.0,0.0
0,F,60,F,0.0,5.0,5.0,1.0,0.0
0,F,61,M,0.0,5.0,5.0,1.0,0.0
0,F,61,F,0.0,5.0,5.0,1.0,0.0
0,F,62,M,0.0,5.0,5.0,1.0,0.0
0,F,62,F,0.0,5.0,5.0,1.0,0.0
